Date,P,Blue,Red,Winner,Bans,Bans,Picks,Picks,Blue Roster,Red Roster,Len,BG,BK,BT,BD,BB,BRH,RG,RK,RT,RD,RB,RRH,SB,VOD
2022-03-06 ,12.4,INTZ,LOUD,LOUD,null,null,null,null,null,null,24:09,36900,5,1,0,null,null,52500,18,11,2,null,null,SB,https://www.youtube.com/watch?v=-xNmXd_DDO4&list=PLC6tQcehKF2OEDNKdojFHmG04d5cP9OO9&index=58
2022-03-06 ,12.4,paiN Gaming,Flamengo Esports,paiN Gaming,"Gwen,Ahri,Lee Sin,Rakan,Ezreal","Jinx,Zeri,Caitlyn,Zoe,Thresh","Jayce,Xin Zhao,Twisted Fate,Aphelios,Leona","Graves,Volibear,Ryze,Jhin,Nautilus","Wizer,CarioK,dyNquedo,Trigo (Matheus Trigo),Damage","Boal,Sting,Tutsz,Flare (Luiz Felipe Lobo),Kuri",35:06,69207,19,10,3,2,2,58894,12,3,2,0,0,SB,https://www.youtube.com/watch?v=pmjwKDqNF4A
2022-03-06 ,12.4,RED Canids,Netshoes Miners,RED Canids,"Ryze,Tryndamere,Nautilus,Vex,Twisted Fate","Gwen,Caitlyn,Zeri,Ornn,Camille","Irelia,Xin Zhao,Akali,Jinx,Rakan","Jayce,Lee Sin,Annie,Aphelios,Leona","Guigo,Aegis (Gabriel Lemos),Avenger (Adriano Perassoli),TitaN,Jojo (Gabriel Dzelme)","DoRun,Croc,Anyyy,Celo,Hawk (Gabriel Gomes)",32:31,66958,22,10,1,2,1,56402,14,3,3,0,1,SB,https://www.youtube.com/watch?v=asbD36A-3V4
2022-03-06 ,12.4,Liberty,KaBuM! e-Sports,KaBuM! e-Sports,"Jayce,Ryze,Thresh,Ahri,Vex","Caitlyn,Gwen,Zeri,Alistar,Camille","Gnar,Xin Zhao,Twisted Fate,Jinx,Rakan","Kennen,Lee Sin,LeBlanc,Aphelios,Leona","Kiari,Disamis,Krastyel,Matsukaze,Wos","Parang,Wiz,Hauz,Disave,Scuro",32:00,51427,9,5,1,0,1,65180,23,10,4,2,1,SB,https://www.youtube.com/watch?v=3ipbM9mX1n8
2022-03-06 ,12.4,Rensga Esports,FURIA Esports,Rensga Esports,"Gwen,Vex,Jayce,Leona,Tryndamere","Xin Zhao,Zeri,Thresh,Gnar,Lux","Malphite,Volibear,LeBlanc,Caitlyn,Renata Glasc","Graves,Lee Sin,Ahri,Jinx,Nautilus","Edger,Minerva,Goku,NinjaKiwi,Mocha (Kim Tae-gyeom)","fNb,Ranger,Envy (Bruno Farias),Netuno,RedBert",37:11,71442,32,10,1,1,2,66044,17,7,4,0,0,SB,https://www.youtube.com/watch?v=MJT4QtalWio
2022-03-10 ,12.4,KaBuM! e-Sports,RED Canids,KaBuM! e-Sports,"Gwen,Caitlyn,Hecarim,Irelia,Camille","Jayce,Zeri,Jinx,Ryze,Kennen","Gnar,Lee Sin,Vex,Ezreal,Leona","Tryndamere,Xin Zhao,Syndra,Aphelios,Rakan","Parang,Wiz,Hauz,Disave,Scuro","Guigo,Aegis (Gabriel Lemos),Avenger (Adriano Perassoli),TitaN,Jojo (Gabriel Dzelme)",33:12,65369,21,10,4,1,1,55437,13,3,1,0,1,SB,https://www.youtube.com/watch?v=rLkWZ_HIjdI
2022-03-12 ,12.5,Netshoes Miners,Liberty,Netshoes Miners,"Xin Zhao,Jarvan IV,Caitlyn,Gnar,Gwen","Vex,Ryze,Jayce,Hecarim,Diana","Rumble,Lee Sin,Tryndamere,Zeri,Nautilus","Gragas,Viego,LeBlanc,Jinx,Leona","DoRun,Croc,Anyyy,Celo,Hawk (Gabriel Gomes)","Kiari,Disamis,Krastyel,Matsukaze,Wos",36:44,68838,23,9,2,1,1,60510,14,4,3,0,1,SB,https://www.youtube.com/watch?v=ETH9f5LP3oM
2022-03-12 ,12.5,Flamengo Esports,Rensga Esports,Rensga Esports,"Renata Glasc,Caitlyn,Ryze,Tahm Kench,Malphite","Lee Sin,Vex,Gwen,LeBlanc,Yasuo","Tryndamere,Diana,Syndra,Zeri,Nautilus","Sett,Volibear,Ahri,Jinx,Thresh","Boal,Sting,Tutsz,Flare (Luiz Felipe Lobo),Kuri","Edger,Minerva,Goku,NinjaKiwi,Mocha (Kim Tae-gyeom)",45:12,77803,15,6,2,0,0,86260,22,9,4,2,2,SB,https://www.youtube.com/watch?v=HHlOF78pYKc
2022-03-12 ,12.5,LOUD,KaBuM! e-Sports,KaBuM! e-Sports,"Jayce,Lee Sin,Aphelios,Viego,Vex","Twisted Fate,Caitlyn,Hecarim,Ryze,Jarvan IV","Shyvana,Graves,Zoe,Zeri,Leona","Kennen,Trundle,Syndra,Jinx,Nautilus","Robo,Tay,tinowns,DudsTheBoy,Ceos","Parang,Wiz,Hauz,Disave,Scuro",46:13,77593,14,5,3,0,0,83433,20,9,4,3,2,SB,https://www.youtube.com/watch?v=YF7cxgaBcZ4
2022-03-12 ,12.5,FURIA Esports,RED Canids,FURIA Esports,"Lee Sin,Tryndamere,Caitlyn,Camille,Yone","Leona,Zeri,Jinx,Jayce,Zoe","Gwen,Hecarim,Viktor,Ezreal,Braum","Gnar,Diana,Yasuo,Aphelios,Nautilus","fNb,Ranger,Envy (Bruno Farias),Netuno,RedBert","Guigo,Aegis (Gabriel Lemos),Avenger (Adriano Perassoli),TitaN,Jojo (Gabriel Dzelme)",38:20,71269,13,10,3,2,0,64316,5,5,2,0,2,SB,https://www.youtube.com/watch?v=bCuuGBZo6qQ
2022-03-12 ,12.5,INTZ,paiN Gaming,paiN Gaming,null,null,null,null,null,null,26:53,42700,4,4,1,null,null,53700,16,8,2,null,null,SB,https://www.youtube.com/watch?v=w13i_abUgKU&list=PLC6tQcehKF2OEDNKdojFHmG04d5cP9OO9&index=49
2022-03-13 ,12.5,KaBuM! e-Sports,Netshoes Miners,Netshoes Miners,"Zeri,Caitlyn,Hecarim,Alistar,Ryze","Lee Sin,Vex,Jayce,Trundle,Jarvan IV","Kennen,Nocturne,Galio,Jinx,Leona","Tryndamere,Xin Zhao,Viktor,Aphelios,Tahm Kench","Parang,Wiz,Hauz,Disave,Scuro","DoRun,Croc,Anyyy,Celo,Hawk (Gabriel Gomes)",36:34,68672,31,6,3,1,2,70355,31,8,2,1,0,SB,https://www.youtube.com/watch?v=UEhkFeIzFmM
2022-03-13 ,12.5,Rensga Esports,INTZ,Rensga Esports,"Renekton,Gwen,Aphelios,Lee Sin,Hecarim","Zeri,Jinx,Ryze,Twisted Fate,Ahri","Yone,Sejuani,LeBlanc,Caitlyn,Renata Glasc","Akali,Volibear,Galio,Ezreal,Karma","Trap (Sin Seung-min),Minerva,Goku,NinjaKiwi,Mocha (Kim Tae-gyeom)","Tyrin (William Portugal),Yampi,Kick (João Rosas),micaO,Decoy",31:39,55094,12,7,2,1,2,49284,14,2,3,0,0,SB,https://www.youtube.com/watch?v=hQO_2FCWSN0
2022-03-13 ,12.5,RED Canids,Flamengo Esports,RED Canids,null,null,null,null,null,null,25:17,44900,7,4,1,null,null,50600,19,8,3,null,null,SB,https://www.youtube.com/watch?v=yTdEG9DSXZU&list=PLC6tQcehKF2OEDNKdojFHmG04d5cP9OO9&index=45
2022-03-13 ,12.5,paiN Gaming,LOUD,paiN Gaming,"Twisted Fate,LeBlanc,Hecarim,Jinx,Kai'Sa","Jayce,Lee Sin,Xin Zhao,Leona,Alistar","Tryndamere,Volibear,Ahri,Zeri,Rakan","Poppy,Viego,Syndra,Aphelios,Nautilus","Wizer,CarioK,dyNquedo,Trigo (Matheus Trigo),Damage","Robo,Tay,tinowns,DudsTheBoy,Ceos",38:54,74233,22,8,1,2,2,66206,17,5,4,0,0,SB,https://www.youtube.com/watch?v=Nzl6Fne8SOA
2022-03-13 ,12.5,Liberty,FURIA Esports,Liberty,"Ahri,Xin Zhao,Ryze,Sylas,LeBlanc","Zeri,Caitlyn,Lee Sin,Camille,Malphite","Graves,Viego,Zilean,Jinx,Alistar","Jayce,Volibear,Zoe,Aphelios,Rakan","Kiari,Disamis,Krastyel,Matsukaze,Wos","fNb,Ranger,Envy (Bruno Farias),Netuno,RedBert",39:14,69676,14,11,5,2,1,66830,5,7,1,0,1,SB,https://www.youtube.com/watch?v=DNUK4_Nuzco
2022-03-19 ,12.5,paiN Gaming,Rensga Esports,paiN Gaming,null,null,null,null,null,null,30:58,60600,17,9,3,null,null,52600,9,3,2,null,null,SB,https://www.youtube.com/watch?v=ta87ZeUC5J0&list=PLC6tQcehKF2OEDNKdojFHmG04d5cP9OO9&index=42
2022-03-19 ,12.5,FURIA Esports,KaBuM! e-Sports,KaBuM! e-Sports,null,null,null,null,null,null,29:39,46300,3,3,0,null,null,55800,16,8,4,null,null,SB,https://www.youtube.com/watch?v=VfYUHbiEgvM&list=PLC6tQcehKF2OEDNKdojFHmG04d5cP9OO9&index=41
2022-03-19 ,12.5,Flamengo Esports,Liberty,Liberty,null,null,null,null,null,null,27:29,42000,4,3,0,null,null,53600,15,8,3,null,null,SB,https://www.youtube.com/watch?v=k7vCLsBDBRU&list=PLC6tQcehKF2OEDNKdojFHmG04d5cP9OO9&index=40
2022-03-19 ,12.5,INTZ,RED Canids,RED Canids,"Diana,Galio,Vex,Jayce,Syndra","Caitlyn,Jinx,Zeri,Xin Zhao,Camille","Akali,Viego,Ryze,Aphelios,Rakan","Gnar,Lee Sin,Viktor,Ezreal,Leona","Tyrin (William Portugal),Yampi,Kick (João Rosas),micaO,Decoy","Guigo,Aegis (Gabriel Lemos),Grevthar,TitaN,Jojo (Gabriel Dzelme)",40:57,66920,15,4,2,1,0,70163,14,9,3,1,2,SB,https://www.youtube.com/watch?v=r_2PSm6DqtE
2022-03-19 ,12.5,LOUD,Netshoes Miners,Netshoes Miners,"Tryndamere,Vex,Lee Sin,Viego,Xin Zhao","Caitlyn,Jinx,Zoe,Syndra,Orianna","Gnar,Hecarim,Twisted Fate,Aphelios,Leona","Rumble,Graves,Ryze,Xayah,Nautilus","Robo,Tay,tinowns,DudsTheBoy,Ceos","DoRun,Croc,Anyyy,Celo,Hawk (Gabriel Gomes)",31:39,51736,6,3,0,0,0,61992,21,9,5,1,2,SB,https://www.youtube.com/watch?v=bfJztW5N0K8
2022-03-20 ,12.5,Liberty,INTZ,Liberty,null,null,null,null,null,null,25:11,49400,17,10,1,null,null,39700,7,2,1,null,null,SB,https://www.youtube.com/watch?v=QA3-ySG2wd0&list=PLC6tQcehKF2OEDNKdojFHmG04d5cP9OO9&index=37
2022-03-20 ,12.5,Rensga Esports,LOUD,LOUD,"Lee Sin,Twisted Fate,Vex,Jinx,Kai'Sa","Yone,Akali,Yasuo,LeBlanc,Syndra","Jayce,Trundle,Sylas,Zeri,Alistar","Tryndamere,Volibear,Ahri,Aphelios,Nautilus","Trap (Sin Seung-min),Minerva,Goku,NinjaKiwi,Mocha (Kim Tae-gyeom)","Robo,Tay,tinowns,DudsTheBoy,Ceos",40:08,71997,24,5,3,0,1,78395,30,10,3,3,1,SB,https://www.youtube.com/watch?v=HnZ-h_taJFE
2022-03-20 ,12.5,Netshoes Miners,FURIA Esports,FURIA Esports,"Hecarim,Caitlyn,Jayce,Zoe,Viktor","Tryndamere,Ryze,Vex,Camille,LeBlanc","Rumble,Lee Sin,Sylas,Jinx,Nautilus","Gwen,Viego,Orianna,Zeri,Alistar","DoRun,Croc,Anyyy,Celo,Hawk (Gabriel Gomes)","fNb,Ranger,Envy (Bruno Farias),Netuno,RedBert",33:19,57639,20,4,1,1,2,67133,31,9,3,1,0,SB,https://www.youtube.com/watch?v=UWXmxMckP90
2022-03-20 ,12.5,KaBuM! e-Sports,Flamengo Esports,KaBuM! e-Sports,null,null,null,null,null,null,31:05:00,64200,20,11,4,null,null,52900,12,2,1,null,null,SB,https://www.youtube.com/watch?v=gqLcecjbu3Y&list=PLC6tQcehKF2OEDNKdojFHmG04d5cP9OO9&index=34
2022-03-20 ,12.5,RED Canids,paiN Gaming,paiN Gaming,null,null,null,null,null,null,30:32:00,47700,8,2,2,null,null,61400,21,9,3,null,null,SB,https://www.youtube.com/watch?v=UMXFYbuTnUU&list=PLC6tQcehKF2OEDNKdojFHmG04d5cP9OO9&index=33
