Date,P,Blue,Red,Winner,Bans,Bans,Picks,Picks,Blue Roster,Red Roster,Len,BG,BK,BT,BD,BB,BRH,RG,RK,RT,RD,RB,RRH,SB,VOD
2022-01-29 ,12.2,FURIA Esports,INTZ,FURIA Esports,null,null,null,null,null,null,26:23,52100,14,10,2,null,null,39800,2,1,0,null,null,SB,https://www.youtube.com/watch?v=K4nmB2dbrJ8&list=PLC6tQcehKF2OEDNKdojFHmG04d5cP9OO9&index=109
2022-01-29 ,12.2,LOUD,Flamengo Esports,LOUD,"Akali,Gwen,Leona,Thresh,Aatrox","Corki,Renekton,Caitlyn,Camille,Viego","Sett,Lee Sin,Twisted Fate,Jinx,Nautilus","Jax,Xin Zhao,Sylas,Aphelios,Tahm Kench","Robo,Tay,tinowns,DudsTheBoy,Ceos","Boal,asta (Wyllian Adriano),Tutsz,Flare (Luiz Felipe Lobo),Gyeong",32:19,58224,13,10,4,1,0,55068,14,3,0,0,1,SB,https://www.youtube.com/watch?v=ITuUIluDx_A
2022-01-30 ,12.2,RED Canids,KaBuM! e-Sports,RED Canids,null,null,null,null,null,null,27:32,56600,21,11,2,null,null,45900,11,3,2,null,null,SB,https://www.youtube.com/watch?v=ADa2e6j66yQ&list=PLC6tQcehKF2OEDNKdojFHmG04d5cP9OO9&index=107
2022-01-30 ,12.2,Liberty,LOUD,Liberty,"Twisted Fate,LeBlanc,Viego,Ryze,Nautilus","Caitlyn,Viktor,Corki,Lee Sin,Zoe","Gwen,Jarvan IV,Orianna,Jinx,Thresh","Graves,Xin Zhao,Vex,Aphelios,Karma","Kiari,Disamis,Krastyel,Matsukaze,Wos","Robo,Tay,tinowns,DudsTheBoy,Ceos",35:20,70134,26,11,3,1,2,56635,10,3,2,0,0,SB,https://www.youtube.com/watch?v=Be0Q61lY0ss
2022-01-30 ,12.2,Rensga Esports,Netshoes Miners,Rensga Esports,"Lee Sin,Leona,Twisted Fate,Vex,Viktor","Corki,Caitlyn,Jinx,Syndra,Zoe","Gragas,Xin Zhao,Orianna,Senna,Tahm Kench","Graves,Viego,Azir,Jhin,Nautilus","Ayel,Minerva,Goku,Hades (Park Ji-seong),Guard","DoRun,Croc,Anyyy,Drop (Matheus Herdy),Hawk (Gabriel Gomes)",36:07,63076,18,7,3,0,0,62041,9,6,2,1,2,SB,https://www.youtube.com/watch?v=0pvjV39dH2o
2022-01-30 ,12.2,paiN Gaming,FURIA Esports,FURIA Esports,"Vex,Caitlyn,Senna,Akali,Jayce","Corki,Twisted Fate,Renekton,Orianna,Yasuo","Gwen,Viego,Syndra,Aphelios,Nautilus","Tryndamere,Xin Zhao,Viktor,Jinx,Leona","Wizer,CarioK,dyNquedo,Trigo (Matheus Trigo),Damage","fNb,Ranger,Envy (Bruno Farias),Netuno,RedBert",32:01,51947,9,3,1,0,1,59046,15,9,4,1,1,SB,https://www.youtube.com/watch?v=Nggai2fTBh8
2022-01-30 ,12.2,INTZ,Flamengo Esports,INTZ,"Lee Sin,Jarvan IV,Gwen,Sylas,Jax","Corki,Caitlyn,Renekton,Akali,Camille","Graves,Poppy,Twisted Fate,Senna,Tahm Kench","Irelia,Xin Zhao,LeBlanc,Jinx,Leona","Tyrin (William Portugal),Yampi,Kick (João Rosas),micaO,Decoy","Boal,asta (Wyllian Adriano),Tutsz,Flare (Luiz Felipe Lobo),Gyeong",32:37,60305,13,9,2,2,1,51128,2,3,2,0,1,SB,https://www.youtube.com/watch?v=9KmN20NHyHk
2022-02-05 ,12.2,Netshoes Miners,RED Canids,RED Canids,null,null,null,null,null,null,30:10,47000,8,3,1,null,null,59300,18,10,3,null,null,SB,https://www.youtube.com/watch?v=l0s4UXgANOU&list=PLC6tQcehKF2OEDNKdojFHmG04d5cP9OO9&index=102
2022-02-05 ,12.2,LOUD,INTZ,LOUD,null,null,null,null,null,null,25:38,51400,10,11,3,null,null,38700,2,2,0,null,null,SB,https://www.youtube.com/watch?v=5a2C2GqfpzA&list=PLC6tQcehKF2OEDNKdojFHmG04d5cP9OO9&index=101
2022-02-05 ,12.2,KaBuM! e-Sports,Liberty,KaBuM! e-Sports,null,null,null,null,null,null,28:00,57400,25,9,1,null,null,44900,9,1,2,null,null,SB,https://www.youtube.com/watch?v=UoFAghOR0P8&list=PLC6tQcehKF2OEDNKdojFHmG04d5cP9OO9&index=100
